Country	Year	Status	Life_Expectancy 
Afghanistan	2014	Developing	59.9
Albania	2014	Developing	77.5
Algeria	2014	Developing	75.4
Angola	2014	Developing	51.7
Antigua and Barbuda	2014	Developing	76.2
Argentina	2014	Developing	76.2
Armenia	2014	Developing	74.6
Australia	2014	Developed	82.7
Austria	2014	Developed	81.4
Azerbaijan	2014	Developing	72.5
Bahamas	2014	Developing	75.4
Bahrain	2014	Developing	76.8
Bangladesh	2014	Developing	71.4
Barbados	2014	Developing	75.4
Belarus	2014	Developing	72
Belgium	2014	Developed	89
Belize	2014	Developing	70
Benin	2014	Developing	59.7
Bhutan	2014	Developing	69.4
Bolivia (Plurinational State of)	2014	Developing	74
Bosnia and Herzegovina	2014	Developing	77.2
Botswana	2014	Developing	65.1
Brazil	2014	Developing	74.8
Brunei Darussalam	2014	Developing	77.6
Bulgaria	2014	Developed	74.3
Burkina Faso	2014	Developing	59.3
Burundi	2014	Developing	59.1
C̫te d'Ivoire	2014	Developing	52.8
Cabo Verde	2014	Developing	73
Cambodia	2014	Developing	68.3
Cameroon	2014	Developing	56.7
Canada	2014	Developing	82
Central African Republic	2014	Developing	58
Chad	2014	Developing	52.6
Chile	2014	Developing	83
China	2014	Developing	75.8
Colombia	2014	Developing	74.6
Comoros	2014	Developing	63.2
Congo	2014	Developing	64.2
Costa Rica	2014	Developing	79.5
Croatia	2014	Developed	77.8
Cuba	2014	Developing	79
Cyprus	2014	Developed	83
Czechia	2014	Developed	78.6
Democratic People's Republic of Korea	2014	Developing	73
Democratic Republic of the Congo	2014	Developing	59.3
Denmark	2014	Developed	84
Djibouti	2014	Developing	63
Dominican Republic	2014	Developing	73.6
Ecuador	2014	Developing	76
Egypt	2014	Developing	78
El Salvador	2014	Developing	73.3
Equatorial Guinea	2014	Developing	57.9
Eritrea	2014	Developing	64.4
Estonia	2014	Developing	77.3
Ethiopia	2014	Developing	64.2
Fiji	2014	Developing	69.7
Finland	2014	Developing	89
France	2014	Developing	82.2
Gabon	2014	Developing	65.5
Gambia	2014	Developing	68
Georgia	2014	Developing	74.5
Germany	2014	Developed	89
Ghana	2014	Developing	62.1
Greece	2014	Developing	88
Grenada	2014	Developing	73.5
Guatemala	2014	Developing	71.7
Guinea	2014	Developing	58.1
Guinea-Bissau	2014	Developing	58.4
Guyana	2014	Developing	66
Haiti	2014	Developing	63.1
Honduras	2014	Developing	74.5
Hungary	2014	Developed	75.6
Iceland	2014	Developed	82.5
India	2014	Developing	68
Indonesia	2014	Developing	68.9
Iran (Islamic Republic of)	2014	Developing	75.4
Iraq	2014	Developing	67.9
Ireland	2014	Developed	81.2
Israel	2014	Developing	82.2
Italy	2014	Developed	82.5
Jamaica	2014	Developing	75.8
Japan	2014	Developed	83.5
Jordan	2014	Developing	74
Kazakhstan	2014	Developing	69.9
Kenya	2014	Developing	62.9
Kiribati	2014	Developing	66.1
Kuwait	2014	Developing	74.6
Kyrgyzstan	2014	Developing	78
Lao People's Democratic Republic	2014	Developing	65.3
Latvia	2014	Developed	74.4
Lebanon	2014	Developing	74.8
Lesotho	2014	Developing	52.1
Liberia	2014	Developing	58.1
Libya	2014	Developing	72.4
Lithuania	2014	Developed	73.4
Luxembourg	2014	Developed	81.7
Madagascar	2014	Developing	65.1
Malawi	2014	Developing	57.6
